rep_date,wmo,lat,lon,VPD,WS,HDW
2026-06-02 03:00:00,324,57.816,-125.0,14.24686512696342,3.5,49.86402794437197
2026-06-02 06:00:00,324,57.816,-125.0,8.629594277620969,3.7,31.929498827197587
2026-06-02 09:00:00,324,57.816,-125.0,5.930968171772254,3.9,23.13077586991179
2026-06-02 12:00:00,324,57.816,-125.0,4.2870795671038975,3.8,16.29090235499481
2026-06-02 15:00:00,324,57.816,-125.0,7.57801871382647,3.2,24.249659884244707
2026-06-02 18:00:00,324,57.816,-125.0,13.001665008558426,2.9,37.70482852481943
2026-06-02 21:00:00,325,50.734,-123.854,20.977927243218467,2.9,60.83598900533355
2026-06-03 00:00:00,325,50.734,-123.854,21.614830455297756,3.4,73.49042354801237
2026-06-01 12:00:00,325,50.734,-123.854,4.906622533069835,3.3,16.191854359130456
2026-06-01 15:00:00,325,50.734,-123.854,7.238696509865981,3.0,21.71608952959794
2026-06-01 18:00:00,325,50.734,-123.854,11.832571800539029,2.5,29.58142950134757
2026-06-01 21:00:00,325,50.734,-123.854,17.27565261467216,2.6,44.91669679814762
2026-06-02 00:00:00,325,50.734,-123.854,18.933156871216987,3.3,62.47941767501605
2026-06-02 03:00:00,325,50.734,-123.854,17.59661881049055,4.3,75.66546088510937
2026-06-02 06:00:00,325,50.734,-123.854,11.907541932482626,4.3,51.20243030967529
2026-06-02 09:00:00,325,50.734,-123.854,10.350847149577586,3.8,39.33321916839483
2026-06-02 12:00:00,325,50.734,-123.854,7.982854084815705,3.4,27.141703888373396
2026-06-02 15:00:00,325,50.734,-123.854,10.825562289763354,3.1,33.5592430982664
2026-06-02 18:00:00,325,50.734,-123.854,14.807702241147561,3.0,44.423106723442686
2026-06-02 21:00:00,326,57.5,-120.2,21.76963565493792,8.9,193.7497573289475
2026-06-03 00:00:00,326,57.5,-120.2,22.169070806215704,10.1,223.9076151427786
2026-06-01 12:00:00,326,57.5,-120.2,8.99739480439083,5.1,45.88671350239323
2026-06-01 15:00:00,326,57.5,-120.2,11.769173594027171,8.3,97.68414083042553
2026-06-01 18:00:00,326,57.5,-120.2,17.22759422301421,9.9,170.5531828078407
2026-06-01 21:00:00,326,57.5,-120.2,19.502317095045726,10.9,212.5752563359984
2026-06-02 00:00:00,326,57.5,-120.2,19.98749277189637,9.9,197.87617844177407
2026-06-02 03:00:00,326,57.5,-120.2,17.9958246170732,8.3,149.36534432170757
2026-06-02 06:00:00,326,57.5,-120.2,11.39528771274609,4.3,48.99973716480818
2026-06-02 09:00:00,326,57.5,-120.2,9.614236614380832,2.8,26.919862520266328
2026-06-02 12:00:00,326,57.5,-120.2,8.819264854511703,3.3,29.10357401988862
2026-06-02 15:00:00,326,57.5,-120.2,12.46935683105107,6.6,82.29775508493705
2026-06-02 18:00:00,326,57.5,-120.2,16.752066879634903,9.0,150.76860191671412
